distance,radialVelocity,solutionVelocity,solutionAngle,robustness,tof
1.00000,0.00000,4.95000,52.00000,4.54186,0.50000
1.50000,0.00000,6.10000,52.00000,6.91056,0.62000
2.00000,0.00000,7.10000,52.00000,9.35790,0.72000
2.50000,0.00000,7.95000,52.00000,11.70926,0.81000
3.00000,0.00000,8.75000,52.00000,14.14160,0.90000
3.50000,0.00000,9.50000,52.00000,16.61281,0.98000
4.00000,0.00000,10.15000,52.00000,18.89304,1.05000
4.50000,0.00000,10.80000,52.00000,21.29822,1.13000
5.00000,0.00000,11.45000,52.00000,23.82743,1.20000
5.50000,0.00000,12.00000,52.00000,26.06018,1.26000
6.00000,0.00000,12.60000,52.00000,28.58029,1.33000
6.50000,0.00000,13.15000,52.00000,30.97396,1.39000
7.00000,0.00000,13.70000,52.00000,33.43250,1.46000
7.50000,0.00000,14.20000,52.00000,35.73181,1.51000
8.00000,0.00000,14.70000,52.00000,38.08334,1.57000
8.50000,0.00000,15.20000,52.00000,40.48452,1.63000
9.00000,0.00000,15.70000,52.00000,42.93142,1.69000
9.50000,0.00000,16.20000,52.00000,45.42360,1.75000
10.00000,0.00000,16.65000,52.00000,47.70783,1.80000
10.50000,0.00000,17.15000,52.00000,50.28291,1.86000
11.00000,0.00000,17.60000,52.00000,52.63131,1.92000
11.50000,0.00000,18.05000,52.00000,55.01443,1.97000
12.00000,0.00000,18.55000,52.00000,57.69518,2.03000
12.50000,0.00000,19.00000,52.00000,60.13542,2.09000
13.00000,0.00000,19.45000,52.00000,62.60485,2.14000
