distance,radialVelocity,solutionVelocity,solutionAngle,robustness,tof
0.30000,-2.50000,9.00000,60.00000,4.05151,0.72000
0.30000,-2.00000,8.70000,64.00000,4.00409,0.73000
0.30000,-1.50000,8.40000,69.00000,3.74961,0.73000
0.30000,-1.00000,8.10000,74.50000,3.20842,0.72000
0.30000,-0.50000,8.00000,80.00000,3.29105,0.74000
0.30000,0.00000,7.90000,85.00000,3.12970,0.74000
0.80000,-2.50000,10.30000,60.00000,10.56292,0.95000
0.80000,-2.00000,9.20000,60.00000,6.10099,0.77000
0.80000,-1.50000,8.80000,63.50000,5.57088,0.75000
0.80000,-1.00000,8.50000,68.00000,5.25793,0.75000
0.80000,-0.50000,8.20000,72.50000,4.74136,0.73000
0.80000,0.00000,8.00000,78.00000,4.26675,0.73000
0.80000,0.50000,7.90000,83.00000,4.03973,0.74000
1.30000,-2.50000,11.40000,60.00000,16.67857,1.12000
1.30000,-2.00000,10.40000,60.00000,12.16952,0.97000
1.30000,-1.50000,9.50000,60.00000,8.82191,0.83000
1.30000,-1.00000,8.90000,62.00000,7.61921,0.75000
1.30000,-0.50000,8.60000,67.00000,7.21216,0.76000
1.30000,0.00000,8.30000,71.00000,6.83579,0.75000
1.30000,0.50000,8.10000,76.00000,6.39436,0.75000
1.30000,1.00000,7.90000,81.00000,5.81727,0.74000
1.30000,1.50000,7.80000,86.00000,5.38748,0.73000
1.80000,-2.50000,12.50000,60.00000,23.30005,1.28000
1.80000,-2.00000,11.40000,60.00000,17.80342,1.13000
1.80000,-1.50000,10.40000,60.00000,13.41140,0.98000
1.80000,-1.00000,9.60000,60.00000,10.78447,0.85000
1.80000,-0.50000,9.10000,62.50000,10.00342,0.80000
1.80000,0.00000,8.80000,67.00000,9.61100,0.81000
1.80000,0.50000,8.50000,71.00000,9.18167,0.80000
1.80000,1.00000,8.40000,77.00000,8.60459,0.83000
1.80000,1.50000,8.20000,81.50000,7.97977,0.81000
1.80000,2.00000,8.00000,86.00000,7.31416,0.78000
2.30000,-2.50000,13.40000,60.00000,29.07206,1.40000
2.30000,-2.00000,12.30000,60.00000,23.23897,1.25000
2.30000,-1.50000,11.30000,60.00000,18.48891,1.12000
2.30000,-1.00000,10.40000,60.00000,14.84119,0.99000
2.30000,-0.50000,9.70000,60.00000,12.96359,0.88000
2.30000,0.00000,9.30000,63.50000,12.41215,0.86000
2.30000,0.50000,8.90000,66.50000,11.98463,0.83000
2.30000,1.00000,8.70000,71.50000,11.49676,0.85000
2.30000,1.50000,8.60000,77.50000,10.73734,0.87000
2.30000,2.00000,8.50000,82.50000,10.10990,0.88000
2.30000,2.50000,8.20000,86.00000,9.37810,0.83000
2.80000,-2.50000,14.30000,60.00000,35.13476,1.52000
2.80000,-2.00000,13.10000,60.00000,28.33959,1.37000
2.80000,-1.50000,12.10000,60.00000,23.29852,1.23000
